"id","age","gender","education","baseline_vaccine_attitude","baseline_vaccination_status"
1,27,"Female","Associate Degree","Okay","No"
2,44,"Male","High School","Okay","No"
3,23,"Non-binary","Graduate Degree","Okay","No"
4,72,"Female","Bachelor's Degree","Bad","Yes"
5,47,"Female","Associate Degree","Okay","Yes"
6,24,"Female","Associate Degree","Good","No"
7,50,"Non-binary","High School","Okay","Yes"
8,55,"Non-binary","Bachelor's Degree","Bad","No"
9,52,"Non-binary","Bachelor's Degree","Bad","Yes"
10,34,"Female","Bachelor's Degree","Bad","Yes"
11,70,"Female","Associate Degree","Okay","No"
12,48,"Male","Graduate Degree","Good","No"
13,28,"Female","High School","Bad","No"
14,18,"Non-binary","Bachelor's Degree","Excellent","No"
15,62,"Non-binary","Bachelor's Degree","Good","No"
16,39,"Non-binary","Graduate Degree","Okay","No"
17,40,"Male","Graduate Degree","Bad","Yes"
18,59,"Male","High School","Good","No"
19,56,"Male","Associate Degree","Terrible","Yes"
20,52,"Female","Bachelor's Degree","Okay","No"
21,58,"Female","Graduate Degree","Good","Yes"
22,56,"Female","Bachelor's Degree","Terrible","Yes"
23,41,"Male","Graduate Degree","Excellent","Yes"
24,18,"Non-binary","Associate Degree","Bad","No"
25,52,"Male","Graduate Degree","Bad","No"
26,39,"Male","Graduate Degree","Excellent","No"
27,37,"Male","Associate Degree","Okay","Yes"
28,18,"Non-binary","Bachelor's Degree","Excellent","Yes"
29,30,"Non-binary","High School","Bad","No"
30,48,"Male","Bachelor's Degree","Excellent","No"
31,67,"Female","Associate Degree","Bad","No"
32,38,"Non-binary","Graduate Degree","Okay","No"
33,48,"Female","Graduate Degree","Bad","Yes"
34,39,"Non-binary","Bachelor's Degree","Okay","Yes"
35,18,"Female","High School","Bad","Yes"
36,32,"Male","Graduate Degree","Okay","Yes"
37,32,"Male","High School","Okay","Yes"
38,39,"Female","Associate Degree","Good","Yes"
39,62,"Female","High School","Terrible","Yes"
40,55,"Non-binary","Associate Degree","Excellent","Yes"
41,37,"Male","Associate Degree","Bad","No"
42,35,"Female","Bachelor's Degree","Okay","Yes"
43,54,"Non-binary","Bachelor's Degree","Okay","No"
44,51,"Non-binary","Associate Degree","Bad","No"
45,26,"Non-binary","Associate Degree","Okay","Yes"
46,26,"Non-binary","Associate Degree","Excellent","Yes"
47,47,"Male","High School","Excellent","No"
48,55,"Male","High School","Excellent","No"
49,38,"Male","Graduate Degree","Okay","Yes"
50,58,"Non-binary","Graduate Degree","Bad","No"
51,48,"Female","Bachelor's Degree","Bad","No"
52,28,"Female","Associate Degree","Good","Yes"
53,47,"Female","Associate Degree","Bad","No"
54,18,"Non-binary","High School","Terrible","No"
55,69,"Female","Bachelor's Degree","Bad","Yes"
