"id","age","gender","education","endline_vaccine_attitude","endline_vaccination_status","treatment"
1,27,"Female","Associate Degree","Okay","No","control group"
3,23,"Non-binary","Graduate Degree","Good","No","control group"
4,72,"Female","Bachelor's Degree","Terrible","Yes","reason"
5,47,"Female","Associate Degree","Terrible","Yes","emotions"
6,24,"Female","Associate Degree","Bad","Yes","reason"
7,50,"Non-binary","High School","Good","Yes","emotions"
8,55,"Non-binary","Bachelor's Degree","Bad","Yes","reason"
9,52,"Non-binary","Bachelor's Degree","Terrible","Yes","emotions"
11,70,"Female","Associate Degree","Good","No","control group"
12,48,"Male","Graduate Degree","Okay","No","reason"
14,18,"Non-binary","Bachelor's Degree","Terrible","Yes","control group"
15,62,"Non-binary","Bachelor's Degree","Bad","Yes","emotions"
16,39,"Non-binary","Graduate Degree","Bad","Yes","emotions"
17,40,"Male","Graduate Degree","Excellent","Yes","control group"
18,59,"Male","High School","Bad","Yes","emotions"
19,56,"Male","Associate Degree","Good","Yes","reason"
20,52,"Female","Bachelor's Degree","Terrible","Yes","reason"
21,58,"Female","Graduate Degree","Okay","Yes","control group"
22,56,"Female","Bachelor's Degree","Bad","Yes","emotions"
23,41,"Male","Graduate Degree","Excellent","Yes","reason"
25,52,"Male","Graduate Degree","Bad","Yes","reason"
26,39,"Male","Graduate Degree","Excellent","No","emotions"
27,37,"Male","Associate Degree","Terrible","Yes","reason"
28,18,"Non-binary","Bachelor's Degree","Okay","Yes","reason"
29,30,"Non-binary","High School","Terrible","No","emotions"
30,48,"Male","Bachelor's Degree","Excellent","No","reason"
32,38,"Non-binary","Graduate Degree","Terrible","Yes","control group"
33,48,"Female","Graduate Degree","Okay","Yes","control group"
34,39,"Non-binary","Bachelor's Degree","Good","Yes","reason"
36,32,"Male","Graduate Degree","Excellent","Yes","reason"
37,32,"Male","High School","Good","Yes","emotions"
38,39,"Female","Associate Degree","Good","Yes","emotions"
39,62,"Female","High School","Excellent","Yes","reason"
40,55,"Non-binary","Associate Degree","Good","Yes","emotions"
41,37,"Male","Associate Degree","Excellent","No","emotions"
42,35,"Female","Bachelor's Degree","Excellent","Yes","reason"
43,54,"Non-binary","Bachelor's Degree","Excellent","No","reason"
44,51,"Non-binary","Associate Degree","Okay","No","control group"
45,26,"Non-binary","Associate Degree","Bad","Yes","reason"
46,26,"Non-binary","Associate Degree","Bad","Yes","emotions"
47,47,"Male","High School","Terrible","Yes","emotions"
48,55,"Male","High School","Terrible","Yes","reason"
50,58,"Non-binary","Graduate Degree","Excellent","No","control group"
51,48,"Female","Bachelor's Degree","Excellent","Yes","emotions"
52,28,"Female","Associate Degree","Bad","Yes","control group"
53,47,"Female","Associate Degree","Terrible","No","emotions"
54,18,"Non-binary","High School","Okay","No","emotions"
55,69,"Female","Bachelor's Degree","Excellent","Yes","emotions"
56,80,"Female","Bachelor's Degree","Terrible","Yes","emotions"
57,33,"Male","Bachelor's Degree","Terrible","Yes","emotions"
58,19,"Female","Graduate Degree","Excellent","No","reason"
59,51,"Non-binary","High School","Bad","No","emotions"
60,37,"Female","Bachelor's Degree","Terrible","No","reason"
61,80,"Female","Graduate Degree","Excellent","Yes","emotions"
62,39,"Female","Graduate Degree","Okay","Yes","control group"
63,54,"Female","Associate Degree","Terrible","Yes","reason"
64,41,"Non-binary","Associate Degree","Good","Yes","emotions"
65,25,"Male","Bachelor's Degree","Good","Yes","emotions"
66,44,"Female","Bachelor's Degree","Good","Yes","emotions"
67,18,"Male","Bachelor's Degree","Good","Yes","reason"
68,69,"Female","High School","Bad","Yes","control group"
69,43,"Female","High School","Good","Yes","emotions"
70,80,"Female","Associate Degree","Bad","Yes","emotions"
71,50,"Female","Bachelor's Degree","Good","Yes","reason"
72,26,"Female","High School","Excellent","No","reason"
73,52,"Non-binary","Bachelor's Degree","Bad","No","emotions"
74,21,"Male","High School","Bad","Yes","control group"
75,18,"Male","Bachelor's Degree","Good","Yes","control group"
77,31,"Female","Associate Degree","Okay","No","emotions"
78,40,"Male","Associate Degree","Okay","Yes","control group"
79,41,"Male","Graduate Degree","Terrible","No","control group"
80,28,"Male","Bachelor's Degree","Good","No","control group"
